location,year,date,doy
Winchester,2019,23-Apr,113
Winchester,2018,30-Apr,120
Winchester,2017,15-Apr,105
Winchester,2016,18-Apr,108
Winchester,2015,24-Apr,114
Winchester,2014,27-Apr,117
Winchester,2013,27-Apr,117
Winchester,2012,15-Apr,105
Winchester,2011,19-Apr,109
Winchester,2010,16-Apr,106
Winchester,2009,28-Apr,118
Winchester,2008,27-Apr,117
Winchester,2007,26-Apr,116
Winchester,2006,21-Apr,111
Winchester,2005,27-Apr,117
Winchester,2004,19-Apr,109
Winchester,2003,20-Apr,110
Winchester,2002,20-Apr,110
Winchester,2001,25-Apr,115
Winchester,2000,15-Apr,105
Winchester,1999,29-Apr,119
Winchester,1998,15-Apr,105
Winchester,1997,18-Apr,108
Winchester,1996,25-Apr,115
Winchester,1995,27-Apr,117
Winchester,1994,20-Apr,110
Winchester,1993,4-May,124
Winchester,1992,30-Apr,120
Winchester,1991,30-Apr,120
Winchester,1990,24-Apr,114
Winchester,1989,25-Apr,115
Winchester,1988,26-Apr,116
Winchester,1987,1-May,121
Winchester,1986,23-Apr,113
Winchester,1985,19-Apr,109
Winchester,1984,3-May,123
Winchester,1983,5-May,125
Winchester,1982,28-Apr,118
Winchester,1981,21-Apr,111
Winchester,1980,2-May,122
Winchester,1979,2-May,122
Winchester,1978,1-May,121
Winchester,1977,20-Apr,110
Winchester,1976,18-Apr,108
Winchester,1975,,
Rock Springs,2020,26-Apr,116
Rock Springs,2019,7-May,127
Rock Springs,2018,17-Apr,107
Rock Springs,2017,23-Apr,113
Rock Springs,2016,7-May,127
Rock Springs,2015,8-May,128
Rock Springs,2014,6-May,126
Rock Springs,2013,19-Apr,109
Rock Springs,2012,4-May,124
Rock Springs,2011,23-Apr,113
Rock Springs,2010,5-May,125
Rock Springs,2009,9-May,129
Rock Springs,2008,3-May,123
Rock Springs,2007,6-May,126
Rock Springs,2006,,
Rock Springs,2005,29-Apr,119
Rock Springs,2004,,
Rock Springs,2003,24-Apr,114
Rock Springs,2002,30-Apr,120
Rock Springs,2001,28-Apr,118
Rock Springs,2000,6-May,126
Rock Springs,1999,23-Apr,113
Rock Springs,1998,5-May,125
Rock Springs,1997,7-May,127
Rock Springs,1996,6-May,126
Rock Springs,1995,3-May,123
Rock Springs,1994,6-May,126
Rock Springs,1993,8-May,128
Rock Springs,1992,29-Apr,119
Rock Springs,1991,27-Apr,117
Rock Springs,1990,6-May,126
Rock Springs,1989,9-May,129
Rock Springs,1988,2-May,122
Rock Springs,1987,28-Apr,118
Rock Springs,1986,25-Apr,115
Rock Springs,1985,15-May,135
Rock Springs,1984,2-May,122
Rock Springs,1983,3-May,123
Rock Springs,1982,6-May,126
Rock Springs,1981,7-May,127
Rock Springs,1980,8-May,128
Rock Springs,1979,12-May,132
Rock Springs,1978,22-Apr,112
Rock Springs,1977,21-Apr,111
Rock Springs,1976,7-May,127
Rock Springs,1975,3-May,123
Hudson Valley,2025,,
Hudson Valley,2022,,
Hudson Valley,2021,,
Hudson Valley,2020,9-May,129
Hudson Valley,2019,27-Apr,117
Hudson Valley,2018,25-Apr,115
Hudson Valley,2017,6-May,126
Hudson Valley,2016,12-May,132
Hudson Valley,2015,7-May,127
Hudson Valley,2014,16-Apr,106
Hudson Valley,2013,9-May,129
Hudson Valley,2012,20-Apr,110
Hudson Valley,2011,29-Apr,119
Hudson Valley,2010,29-Apr,119
Hudson Valley,2009,7-May,127
Hudson Valley,2008,26-Apr,116
Hudson Valley,2007,8-May,128
Hudson Valley,2006,3-May,123
Hudson Valley,2005,1-May,121
Hudson Valley,2004,16-Apr,106
Hudson Valley,2003,2-May,122
Hudson Valley,2002,1-May,121
Hudson Valley,2001,2-May,122
Hudson Valley,2000,23-Apr,113
Hudson Valley,1999,1-May,121
Hudson Valley,1998,6-May,126
Hudson Valley,1997,8-May,128
Hudson Valley,1996,5-May,125
Hudson Valley,1995,3-May,123
Hudson Valley,1994,12-May,132
Hudson Valley,1993,27-Apr,117
Hudson Valley,1992,28-Apr,118
Hudson Valley,1991,13-May,133
Hudson Valley,1990,13-May,133
Hudson Valley,1989,1-May,121
Hudson Valley,1988,30-Apr,120
Hudson Valley,1987,29-Apr,119
Hudson Valley,1986,15-May,135
Hudson Valley,1985,7-May,127
Hudson Valley,1984,9-May,129
Hudson Valley,1983,2-May,122
Hudson Valley,1982,5-May,125
Hudson Valley,1981,8-May,128
Hudson Valley,1980,15-May,135
Hudson Valley,1979,22-Apr,112
Hudson Valley,1978,20-Apr,110
Hudson Valley,1977,14-May,134
Hudson Valley,1976,,
Hudson Valley,1975,,
